calculate_date,book_match_count,book_not_match_count,payment_match_count,payment_not_match_count,book_mailroom,book_vendor,book_epayment,payment_mailroom,payment_vendor,payment_epayment,aff_company
16/05/25,13,195,1299,5518,0,0,0,0,0,0,760110
16/05/19,38,43,1842,992,0,0,0,0,0,0,760310
16/05/23,24,2,1902,808,0,0,0,0,0,0,760410
16/05/08,40,10,609,1010,0,0,0,0,0,0,760010
16/05/31,12,94,1231,5573,0,0,0,0,0,0,760110
16/05/20,10,260,1865,824,0,0,0,0,0,0,760410
16/05/12,73,14,1864,996,0,0,0,0,0,0,760310
16/05/04,108,20,553,797,0,0,0,0,0,0,760010
16/06/01,0,0,0,5,0,0,0,0,0,0,700110
16/05/10,0,3,0,16,0,0,0,0,0,0,700110
16/05/06,0,0,0,247,0,0,0,0,0,0,770110
16/06/03,0,0,0,3,0,0,0,0,0,0,700110
16/06/04,0,71,0,325,0,0,0,0,0,0,770110
16/05/17,0,3,0,10,0,0,0,0,0,0,700110
16/4/20,47,39,1633,390,0,0,0,0,0,0,760310
16/05/29,0,0,0,5,0,0,0,0,0,0,700110
16/05/28,83,82,2975,1892,0,0,0,0,0,0,760210
16/05/27,18,133,1191,5371,0,0,0,0,0,0,760110
16/05/26,24,38,1899,1500,0,0,0,0,0,0,760310
16/05/18,0,3,0,10,0,0,0,0,0,0,700110
16/05/25,17,33,1867,1550,0,0,0,0,0,0,760310
16/4/18,95,42,1653,356,0,0,0,0,0,0,760310
16/05/24,7,312,1277,5347,0,0,0,0,0,0,760110
16/05/09,28,190,1029,5341,0,0,0,0,0,0,760110
16/05/30,20,89,1202,5530,0,0,0,0,0,0,760110
16/05/22,0,1,12,12,0,0,0,0,0,0,761610
16/05/21,12,207,1277,5266,0,0,0,0,0,0,760110
16/05/05,12,341,1031,5037,0,0,0,0,0,0,760110
16/05/13,0,1,0,266,0,0,0,0,0,0,770110
16/05/07,28,190,1029,5341,0,0,0,0,0,0,760110
16/06/02,13,13,835,474,0,0,0,0,0,0,760010
16/05/11,0,3,0,16,0,0,0,0,0,0,700110
16/05/16,8,38,1019,5632,0,0,0,0,0,0,760110
16/06/05,13,22,2946,2308,0,0,0,0,0,0,760210
16/05/14,8,38,766,5885,0,0,0,0,0,0,760110
16/06/06,0,71,0,325,0,0,0,0,0,0,760310
16/05/15,0,3,0,10,0,0,0,0,0,0,700110
16/05/27,0,0,6,13,0,0,0,0,0,0,761610
16/05/25,0,0,12,13,0,0,0,0,0,0,761610
16/05/19,11,94,814,537,0,0,0,0,0,0,760010
16/05/09,40,10,609,1010,0,0,0,0,0,0,760010
16/05/30,16,8,770,490,0,0,0,0,0,0,760010
16/05/08,28,190,1029,5341,0,0,0,0,0,0,760110
16/05/31,21,6,766,500,0,0,0,0,0,0,760010
16/4/29,40,44,1753,921,0,0,0,0,0,0,760310
16/4/13,71,40,1649,315,0,0,0,0,0,0,760310
16/05/12,25,108,1212,5206,0,0,0,0,0,0,760110
